date,Oil_future,Oil_future_volume,Oil_spot,LNG_spot,LNG_future_volume,VIX,Gold_future,DJI_GI,SPX_GI,SH,EEM,Dollar_future,XLK,DJC_E,DJC,DJ_oil_index,DJ_trans,DJ_oil_gas_index,Unemployment,sentiment_avg,LNG_future
1/2/2020,61.2,27818,67.13,1.86,152564,12.47,1513.9,28868.8008,3257.8501,3085.1976,45.33,96.525,93.389999,93.9823,642.81,7138.82,10994.31,502.62,3.5,0.122699387,2.13
1/3/2020,63.06,68042,69.38,2.09,138619,14.02,1513.8,28634.8809,3234.8501,3083.7858,45.15,96.521,92.339996,96.5977,646.19,7135.28,10911.4,501.3,3.5,0.157534247,2.114
1/4/2020,63.01666667,59797.66667,69.87666667,2.14,138678.6667,13.96333333,1514.833333,28657.71423,3238.660067,3083.659967,45,96.464,92.41333,96.6512,646.7466667,7163.2,10890.51,502.5933333,3.5,0.128211237,2.125666667
1/5/2020,62.97333333,51553.33333,70.37333333,2.19,138738.3333,13.90666667,1515.866667,28680.54757,3242.470033,3083.534133,44.85,96.407,92.486664,96.7047,647.3033333,7191.12,10869.62,503.8866667,3.5,0.098888227,2.137333333
1/6/2020,62.93,43309,70.87,2.24,138798,13.85,1516.9,28703.3809,3246.28,3083.4083,44.7,96.35,92.559998,96.7582,647.86,7219.04,10848.73,505.18,3.5,0.069565217,2.149
1/7/2020,62.82,47964,69.6,2.25,144422,13.79,1527.3,28583.6797,3237.1799,3104.8015,44.83,96.702,92.519997,96.0505,646.91,7289.95,10887.56,504.23,3.5,0.121856867,2.154
1/8/2020,60,67732,69.58,2.17,207012,13.45,1551.7,28745.0898,3253.05,3066.8925,44.66,96.996,93.510002,92.1462,638.33,7092.06,10983.64,494.9,3.5,0.067340067,2.151
1/9/2020,59.59,51488,67.24,1.84,202802,12.54,1565.5,28956.9004,3274.7,3094.8819,45.38,97.162,94.57,91.9107,638,7159.82,11025.82,498.55,3.5,0.073059361,2.166
1/10/2020,59.14,44054,67.02,1.67,252594,12.56,1576.3,28823.7695,3265.3501,3092.2907,45.55,97.078,94.349998,91.4132,639.6,7100.41,10973.88,495.39,3.5,0.051724138,2.207
1/11/2020,58.80333333,46628,66.70333333,1.786666667,237856,12.48,1568.3,28851.52993,3272.943367,3100.050333,45.68666667,97.072,94.74333167,90.97516667,638.6166667,7085.983333,11003.5,495.4866667,3.5,0.05852122,2.201333333
1/12/2020,58.46666667,49202,66.38666667,1.903333333,223118,12.4,1560.3,28879.29037,3280.536633,3107.809967,45.82333333,97.066,95.13666533,90.53713333,637.6333333,7071.556667,11033.12,495.5833333,3.5,0.065318303,2.195666667
1/13/2020,58.13,51776,66.07,2.02,208380,12.32,1552.3,28907.0508,3288.1299,3115.5696,45.96,97.06,95.529999,90.0991,636.65,7057.13,11062.74,495.68,3.5,0.072115385,2.19
1/14/2020,58.2,45554,65.63,2.05,248407,12.39,1548.8,28939.6699,3283.1499,3106.8204,45.95,97.094,95.080002,90.2964,637.65,7112.7,11164.51,495.99,3.5,0.087719298,2.179
1/15/2020,58.02,37097,65.32,2.16,210609,12.42,1558.8,29030.2207,3289.29,3090.0379,45.71,96.96,95.190002,89.3774,635.03,7054.31,11195.39,492.62,3.5,0.113564669,2.124
1/16/2020,58.51,27627,65.62,2.66,197537,12.32,1548.9,29297.6406,3316.8101,3074.0814,45.82,97.062,96.470001,89.9327,632.95,7057.42,11304.97,493.17,3.5,0.058823529,2.076
1/17/2020,58.57,10735,65.58,3.58,201575,12.1,1544.8,29348.0996,3329.6201,3075.4955,46.07,97.359,97.120003,89.6824,634.91,7003.64,11278.85,489.91,3.5,0.089041096,2.003
