Date,Oil_future,Oil_future_volume,Oil_spot,LNG_spot,LNG_future,LNG_future_volume,VIX,Gold_future,DJI_GI,SPX_GI,SH,EEM,Dollar_future,XLK,DJC_E,DJC,DJ_oil_index,DJ_trans,DJ_oil_gas_index,Unemployment
2022-01-31,88.14 ,"30,045.00 ",90.89 ,6.25 ,4.9070 ,147383.0000,24.83,1796.40,35131.8594,4515.5498,3361.4397,48.79,96.537,161.970001,143.2072,1023.63,9277.18,15282.83,547.02,4
2022-01-28,87.32 ,"38,246.00 ",90.14 ,19.64 ,4.6900 ,248586.0000,27.66,1791.10,34725.4688,4431.8501,3361.4397,47.57,97.266,158,141.3844,1017.3,9248.89,15048.62,543.78,4
2022-01-27,87.35 ,"42,040.00 ",90.21 ,8.50 ,4.3380 ,173966.0000,30.49,1791.10,34160.7813,4326.5098,3394.2474,47.26,97.242,151.380005,139.904,1011.14,9212.21,14809.93,546.1,4
2022-01-26,87.25 ,"49,180.00 ",89.35 ,11.92 ,4.0000 ,142292.0000,31.96,1814.40,34168.0898,4349.9302,3455.6679,47.90,96.4,152.429993,139.8817,1015.94,9098.07,15028.61,540.37,4
2022-01-25,85.28 ,"58,963.00 ",87.36 ,16.71 ,4.0380 ,21239.0000,31.16,1839.40,34297.7305,4356.4502,3433.0612,48.28,95.928,151.539993,136.7949,1004.78,9132.75,15181.39,541.4,4
2022-01-24,81.93 ,"50,393.00 ",87.99 ,7.11 ,3.9640 ,41930.0000,29.90,1844.30,34364.5000,4410.1299,3524.1050,48.37,95.901,155.130005,133.9103,994.39,8774.7,15435.92,522.02,4
2022-01-21,84.81 ,"44,796.00 ",87.46 ,14.50 ,3.9600 ,66699.0000,28.85,1835.90,34265.3711,4397.9399,3522.5679,49.02,95.636,154.330002,136.2164,1003.51,8692.91,15247.28,519.16,4
2022-01-20,84.64 ,"52,051.00 ",88.56 ,18.11 ,3.8400 ,87839.0000,25.59,1839.90,34715.3906,4482.7300,3555.0629,49.70,95.725,157.460007,136.4744,1007.69,8969.41,15521.64,529.65,4
2022-01-19,86.92 ,"5,955.00 ",88.50 ,15.96 ,4.0190 ,107261.0000,23.85,1837.20,35028.6484,4532.7598,3558.1796,49.39,95.5,159.520004,137.1751,1003.88,9188.75,15588.08,534.84,4
2022-01-18,86.61 ,"17,935.00 ",88.09 ,6.12 ,4.3320 ,111598.0000,22.79,1804.80,35368.4688,4577.1099,3569.9144,49.25,95.723,161.779999,136.4135,990.42,9289.87,15657.47,539.14,4
2022-01-14,84.09 ,"36,389.00 ",85.47 ,12.02 ,4.2280 ,102349.0000,19.19,1814.20,35911.8086,4662.8501,3521.2559,50.12,95.161,165.759995,134.4479,985.04,9350.38,15904.96,538,4
2022-01-13,81.62 ,"27,032.00 ",84.72 ,12.46 ,4.2630 ,209204.0000,20.31,1811.80,36113.6211,4659.0298,3555.2585,50.09,94.775,164.369995,132.0291,980.72,9084.49,16004.57,525.61,4
2022-01-12,82.82 ,"30,538.00 ",84.35 ,5.34 ,4.7830 ,194742.0000,17.62,1825.10,36290.3203,4726.3501,3597.4321,50.63,94.901,168.740005,133.6892,993.12,9177.49,15971.1,529.22,4
