DAY,Sentiment,mean,quantile_75,quantile_25,median
2009-09-01,neutral,0.0,0.0,0.0,0.0
2009-09-02,neutral,0.0,0.0,0.0,0.0
2009-09-09,neutral,0.0,0.0,0.0,0.0
2009-09-10,neutral,0.3333333333333333,0.5,0.0,0.0
2009-09-11,positive,0.6,1.0,0.0,1.0
2009-09-14,negative,0.0,0.75,-0.75,0.0
2009-09-15,neutral,0.3333333333333333,0.5,0.0,0.0
2009-09-16,neutral,0.0,0.0,0.0,0.0
2009-09-17,neutral,0.0,0.0,0.0,0.0
2009-09-18,neutral,0.0,0.0,0.0,0.0
2009-09-19,neutral,0.0,0.0,0.0,0.0
2009-09-23,positive,1.0,1.0,1.0,1.0
2009-09-24,positive,1.0,1.0,1.0,1.0
2009-09-25,neutral,0.5,0.75,0.25,0.5
2009-09-27,neutral,0.0,0.0,0.0,0.0
2009-09-28,positive,1.0,1.0,1.0,1.0
2009-09-29,neutral,0.0,0.0,0.0,0.0
2009-09-30,positive,0.6666666666666666,1.0,0.5,1.0
2009-10-01,neutral,0.0,0.0,0.0,0.0
2009-10-02,positive,1.0,1.0,1.0,1.0
2009-10-05,negative,-1.0,-1.0,-1.0,-1.0
2009-10-06,neutral,0.3333333333333333,0.5,0.0,0.0
2009-10-07,neutral,0.0,0.0,0.0,0.0
2009-10-08,neutral,0.2,0.0,0.0,0.0
2009-10-09,neutral,0.5,0.75,0.25,0.5
2009-10-13,positive,1.0,1.0,1.0,1.0
2009-10-14,neutral,0.4,1.0,0.0,0.0
2009-10-16,neutral,-0.3333333333333333,0.0,-0.5,0.0
2009-10-19,positive,1.0,1.0,1.0,1.0
2009-10-22,neutral,0.0,0.0,0.0,0.0
2009-10-23,neutral,0.0,0.0,0.0,0.0
2009-10-28,neutral,0.0,0.25,-0.25,0.0
2009-10-29,negative,-1.0,-1.0,-1.0,-1.0
2009-11-03,neutral,0.0,0.0,0.0,0.0
2009-11-04,neutral,0.0,0.0,0.0,0.0
2009-11-05,neutral,0.0,0.0,0.0,0.0
2009-11-06,neutral,0.5,1.0,0.0,0.5
2009-11-09,neutral,0.0,0.0,0.0,0.0
2009-11-10,neutral,0.0,0.0,0.0,0.0
2009-11-11,neutral,0.0,0.0,0.0,0.0
